^Full Path^|^Length^|^Creation Time Utc^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Help\1033\s10ch_setup.chm^|^1309625^|^7/4/2008 5:32:30 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Patch\MSDE2000.msp^|^49664^|^9/14/2011 7:51:28 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Patch\rs2000.msp^|^24064^|^9/14/2011 7:51:28 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Patch\SQL2005_AS.msp^|^1099264^|^9/14/2011 7:51:42 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Patch\SQL2005_RS.msp^|^1097728^|^9/14/2011 7:52:16 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Patch\SQL2005_SQL.msp^|^1103360^|^9/14/2011 7:52:32 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Patch\SQL2008_AS.msp^|^22528^|^7/4/2008 6:22:12 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Patch\SQL2008_SQL.msp^|^23040^|^7/4/2008 6:22:38 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\AddNode.xml^|^6885^|^7/4/2008 6:05:02 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\CompleteClusterWizard.xml^|^9156^|^9/14/2011 7:16:24 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\ComponentUpdate.xml^|^3060^|^9/14/2011 7:16:24 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\configuration.uicfg^|^6106^|^9/14/2011 7:16:06 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\EditionUpgradeWizard.xml^|^5276^|^7/4/2008 6:05:02 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\FixSqlRegistryKey_ia64.exe^|^46952^|^9/23/2011 3:29:10 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\FixSqlRegistryKey_ia64.exe.config^|^331^|^8/24/2011 12:32:20 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\FixSqlRegistryKey_x64.exe^|^46952^|^9/23/2011 4:15:10 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\FixSqlRegistryKey_x64.exe.config^|^331^|^8/24/2011 12:32:20 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\FixSqlRegistryKey_x86.exe^|^51048^|^9/22/2011 11:52:24 PM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\FixSqlRegistryKey_x86.exe.config^|^331^|^8/24/2011 12:32:20 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\FusionCheck.dll^|^14184^|^9/23/2011 4:17:58 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\InstallClusterWizard.xml^|^14041^|^7/4/2008 6:05:02 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\InstallWizard.xml^|^12455^|^9/14/2011 7:16:26 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\LandingPage.exe^|^419688^|^9/23/2011 4:30:36 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\LandingPage.exe.config^|^331^|^8/24/2011 12:32:20 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.AnalysisServices.DLL^|^1320808^|^9/23/2011 4:30:36 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SQL.Chainer.Package.dll^|^63336^|^9/23/2011 4:30:36 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SQL.Chainer.PackageData.dll^|^407400^|^9/23/2011 4:30:36 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SQL.Chainer.Product.dll^|^509800^|^9/23/2011 4:30:36 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Chainer.ExtensionCommon.dll^|^34664^|^9/23/2011 4:30:36 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Chainer.Infrastructure.dll^|^235368^|^9/23/2011 4:30:36 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.AgentExtension.dll^|^169832^|^9/23/2011 4:30:36 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.ASExtension.dll^|^366440^|^9/23/2011 4:30:36 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.BootstrapExtension.dll^|^79720^|^9/23/2011 4:30:36 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.Cluster.dll^|^694120^|^9/23/2011 4:30:36 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.ConfigExtension.dll^|^75624^|^9/23/2011 4:30:36 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.ConnectionInfo.dll^|^149352^|^9/23/2011 4:30:36 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.dll^|^165736^|^9/23/2011 4:30:36 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.Dmf.dll^|^296808^|^9/23/2011 4:30:36 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.Fulltext_ConfigExtension.dll^|^79720^|^9/23/2011 4:30:36 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.InstallWizard.dll^|^1357672^|^9/23/2011 4:30:36 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.InstallWizardFramework.dll^|^51048^|^9/23/2011 4:30:36 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.ManagementToolsExtension.dll^|^42856^|^9/23/2011 4:30:36 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.MsiExtension.dll^|^264040^|^9/23/2011 4:30:36 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.PowershellExtension.dll^|^38760^|^9/23/2011 4:30:36 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.Repl_ConfigExtension.dll^|^51048^|^9/23/2011 4:30:36 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.RSExtension.dll^|^325480^|^9/23/2011 4:31:54 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.RulesEngineExtension.dll^|^79720^|^9/23/2011 4:31:54 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.Sco.dll^|^1304424^|^9/23/2011 4:31:54 AM^
