^Full Path^|^Length^|^Creation Time Utc^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Configuration.PowershellExtension.Resources.dll^|^36544^|^5/28/2016 3:37:58 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Configuration.Repl_ConfigExtension.resources.dll^|^23232^|^5/28/2016 3:37:58 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Configuration.Resources.dll^|^73408^|^5/28/2016 3:37:58 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Configuration.RSExtension.resources.dll^|^102080^|^5/28/2016 3:37:58 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Configuration.RSSHPExtension.resources.dll^|^73408^|^4/21/2015 4:44:56 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Configuration.RulesEngineExtension.Resources.dll^|^48832^|^5/28/2016 3:37:58 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Configuration.Sco.Resources.dll^|^925376^|^5/28/2016 3:37:58 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Configuration.ScoExtension.Resources.dll^|^69312^|^4/21/2015 4:44:56 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Configuration.SetupExtension.Resources.dll^|^384704^|^5/28/2016 3:37:58 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Configuration.Sfc.Resources.dll^|^163520^|^2/21/2014 11:26:32 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Configuration.SlpExtension.Resources.dll^|^27840^|^5/28/2016 3:37:58 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Configuration.SmartSetupExtension.Resources.dll^|^52928^|^4/21/2015 4:44:56 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Configuration.Smo.Resources.dll^|^777920^|^4/21/2015 4:44:56 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Configuration.SniServerConfigExt.Resources.dll^|^36544^|^4/21/2015 4:44:56 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Configuration.SqlBrowserExtension.Resources.dll^|^57024^|^5/28/2016 3:37:58 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Configuration.SqlConfigBase.Resources.dll^|^23232^|^5/28/2016 3:37:58 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Configuration.SqlEnum.Resources.dll^|^839360^|^2/21/2014 11:26:28 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Configuration.SqlServer_ConfigExtension.Resources.dll^|^163520^|^5/28/2016 3:37:58 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Configuration.SSISExtension.Resources.dll^|^27328^|^5/28/2016 3:37:58 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Configuration.UIExtension.Resources.dll^|^24768^|^5/28/2016 3:37:58 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Configuration.UtilityExtension.Resources.dll^|^22208^|^4/21/2015 4:44:56 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Configuration.WizardFramework.Resources.dll^|^73408^|^5/28/2016 3:37:58 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Deployment.Resources.dll^|^21184^|^4/21/2015 4:44:56 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Discovery.Resources.dll^|^216768^|^5/28/2016 3:37:58 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Management.Controls.resources.dll^|^85696^|^2/21/2014 11:28:36 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\Microsoft.SqlServer.Setup.Chainer.Workflow.Resources.dll^|^44736^|^5/28/2016 3:38:24 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\pt\SetupARP.Resources.dll^|^65216^|^4/21/2015 4:44:50 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\LandingPage.Resources.dll^|^97984^|^5/28/2016 3:38:36 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.AnalysisServices.resources.dll^|^249536^|^2/21/2014 11:26:30 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SQL.Chainer.Package.Resources.dll^|^28352^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SQL.Chainer.PackageData.Resources.dll^|^175808^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SQL.Chainer.Product.Resources.dll^|^347840^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Chainer.ExtensionCommon.Resources.dll^|^57024^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Chainer.Infrastructure.Resources.dll^|^69312^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Chainer.Setup.Resources.dll^|^25280^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.AgentExtension.Resources.dll^|^52928^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.ASExtension.resources.dll^|^97984^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.BootstrapExtension.Resources.dll^|^48832^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.Cluster.resources.dll^|^220864^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.ConfigExtension.Resources.dll^|^26304^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.ConnectionInfo.Resources.dll^|^27840^|^2/21/2014 11:28:56 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.Dmf.Resources.dll^|^57024^|^2/21/2014 11:28:56 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.InstallWizard.Resources.dll^|^1007296^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.InstallWizardFramework.Resources.dll^|^23232^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.ManagementToolsExtension.Resources.dll^|^26816^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.MsiExtension.Resources.dll^|^65216^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.PackageChainerExtension.Resources.dll^|^69312^|^4/21/2015 4:49:38 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.PowershellExtension.Resources.dll^|^27328^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.Repl_ConfigExtension.resources.dll^|^23232^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.Resources.dll^|^85696^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.RSExtension.resources.dll^|^114368^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.RSSHPExtension.resources.dll^|^85696^|^4/21/2015 4:49:38 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.RulesEngineExtension.Resources.dll^|^52928^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.Sco.Resources.dll^|^1248960^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.ScoExtension.Resources.dll^|^77504^|^4/21/2015 4:49:38 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.SetupExtension.Resources.dll^|^442048^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.Sfc.Resources.dll^|^167616^|^2/21/2014 11:28:42 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.SlpExtension.Resources.dll^|^28352^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.SmartSetupExtension.Resources.dll^|^61120^|^4/21/2015 4:49:38 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.Smo.Resources.dll^|^986816^|^4/21/2015 4:49:38 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.SniServerConfigExt.Resources.dll^|^28864^|^4/21/2015 4:49:38 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.SqlBrowserExtension.Resources.dll^|^61120^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.SqlConfigBase.Resources.dll^|^24256^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.SqlEnum.Resources.dll^|^839360^|^2/21/2014 11:28:42 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.SqlServer_ConfigExtension.Resources.dll^|^179904^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.SSISExtension.Resources.dll^|^28352^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.UIExtension.Resources.dll^|^26304^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.UtilityExtension.Resources.dll^|^22720^|^4/21/2015 4:49:38 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Configuration.WizardFramework.Resources.dll^|^73408^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Deployment.Resources.dll^|^21184^|^4/21/2015 4:49:38 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Discovery.Resources.dll^|^216768^|^5/28/2016 3:38:02 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Management.Controls.resources.dll^|^85696^|^2/21/2014 11:28:12 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\Microsoft.SqlServer.Setup.Chainer.Workflow.Resources.dll^|^35520^|^5/28/2016 3:38:04 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\ru\SetupARP.Resources.dll^|^65216^|^4/21/2015 4:49:40 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\LandingPage.Resources.dll^|^93888^|^5/28/2016 3:39:04 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.AnalysisServices.resources.dll^|^175808^|^2/21/2014 11:24:34 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SQL.Chainer.Package.Resources.dll^|^28352^|^5/28/2016 3:38:52 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SQL.Chainer.PackageData.Resources.dll^|^175808^|^5/28/2016 3:38:52 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SQL.Chainer.Product.Resources.dll^|^347840^|^5/28/2016 3:38:52 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Chainer.ExtensionCommon.Resources.dll^|^48832^|^5/28/2016 3:38:52 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Chainer.Infrastructure.Resources.dll^|^57024^|^5/28/2016 3:38:52 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Chainer.Setup.Resources.dll^|^23232^|^5/28/2016 3:38:52 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.AgentExtension.Resources.dll^|^44736^|^5/28/2016 3:38:52 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.ASExtension.resources.dll^|^85696^|^5/28/2016 3:38:52 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.BootstrapExtension.Resources.dll^|^31936^|^5/28/2016 3:38:52 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.Cluster.resources.dll^|^179904^|^5/28/2016 3:38:52 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.ConfigExtension.Resources.dll^|^23744^|^5/28/2016 3:38:52 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.ConnectionInfo.Resources.dll^|^24768^|^2/21/2014 11:26:44 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.Dmf.Resources.dll^|^48832^|^2/21/2014 11:26:34 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.InstallWizard.Resources.dll^|^962240^|^5/28/2016 3:38:54 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.InstallWizardFramework.Resources.dll^|^22720^|^5/28/2016 3:38:52 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.ManagementToolsExtension.Resources.dll^|^26816^|^5/28/2016 3:38:52 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.MsiExtension.Resources.dll^|^52928^|^5/28/2016 3:38:54 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.PackageChainerExtension.Resources.dll^|^65216^|^4/21/2015 4:45:18 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.PowershellExtension.Resources.dll^|^26816^|^5/28/2016 3:38:54 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.Resources.dll^|^69312^|^5/28/2016 3:38:54 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.RSExtension.resources.dll^|^93888^|^5/28/2016 3:38:54 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.RSSHPExtension.resources.dll^|^69312^|^4/21/2015 4:45:18 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.RulesEngineExtension.Resources.dll^|^48832^|^5/28/2016 3:38:54 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.Sco.Resources.dll^|^769728^|^5/28/2016 3:38:54 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.ScoExtension.Resources.dll^|^69312^|^4/21/2015 4:45:18 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.SetupExtension.Resources.dll^|^360128^|^5/28/2016 3:38:54 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.Sfc.Resources.dll^|^163520^|^2/21/2014 11:26:26 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.SlpExtension.Resources.dll^|^27328^|^5/28/2016 3:38:54 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.SmartSetupExtension.Resources.dll^|^48832^|^4/21/2015 4:45:18 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.Smo.Resources.dll^|^691904^|^4/21/2015 4:45:18 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.SniServerConfigExt.Resources.dll^|^26304^|^4/21/2015 4:45:18 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.SqlBrowserExtension.Resources.dll^|^52928^|^5/28/2016 3:38:54 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.SqlConfigBase.Resources.dll^|^22720^|^5/28/2016 3:38:54 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.SqlEnum.Resources.dll^|^835264^|^2/21/2014 11:26:26 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.SqlServer_ConfigExtension.Resources.dll^|^155328^|^5/28/2016 3:38:54 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.SSISExtension.Resources.dll^|^27328^|^5/28/2016 3:38:54 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.UIExtension.Resources.dll^|^24256^|^5/28/2016 3:38:54 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.UtilityExtension.Resources.dll^|^22208^|^4/21/2015 4:45:18 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Configuration.WizardFramework.Resources.dll^|^73408^|^5/28/2016 3:38:54 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Deployment.Resources.dll^|^21184^|^4/21/2015 4:45:18 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Discovery.Resources.dll^|^216768^|^5/28/2016 3:38:54 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Management.Controls.resources.dll^|^85696^|^2/21/2014 11:25:58 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\Microsoft.SqlServer.Setup.Chainer.Workflow.Resources.dll^|^32448^|^5/28/2016 3:38:54 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHS\SetupARP.Resources.dll^|^65216^|^4/21/2015 4:45:20 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHT\LandingPage.Resources.dll^|^93888^|^5/28/2016 3:37:24 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHT\Microsoft.AnalysisServices.resources.dll^|^179904^|^2/21/2014 11:25:20 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHT\Microsoft.SQL.Chainer.Package.Resources.dll^|^28352^|^5/28/2016 3:39:04 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHT\Microsoft.SQL.Chainer.PackageData.Resources.dll^|^175808^|^5/28/2016 3:39:04 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHT\Microsoft.SQL.Chainer.Product.Resources.dll^|^347840^|^5/28/2016 3:39:04 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHT\Microsoft.SqlServer.Chainer.ExtensionCommon.Resources.dll^|^52928^|^5/28/2016 3:39:04 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHT\Microsoft.SqlServer.Chainer.Infrastructure.Resources.dll^|^57024^|^5/28/2016 3:39:06 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHT\Microsoft.SqlServer.Chainer.Setup.Resources.dll^|^23232^|^5/28/2016 3:39:04 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHT\Microsoft.SqlServer.Configuration.AgentExtension.Resources.dll^|^44736^|^5/28/2016 3:39:06 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHT\Microsoft.SqlServer.Configuration.ASExtension.resources.dll^|^85696^|^5/28/2016 3:39:06 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHT\Microsoft.SqlServer.Configuration.BootstrapExtension.Resources.dll^|^31936^|^5/28/2016 3:39:06 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHT\Microsoft.SqlServer.Configuration.Cluster.resources.dll^|^179904^|^5/28/2016 3:39:06 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHT\Microsoft.SqlServer.Configuration.ConfigExtension.Resources.dll^|^23744^|^5/28/2016 3:39:06 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHT\Microsoft.SqlServer.Configuration.ConnectionInfo.Resources.dll^|^25280^|^2/21/2014 11:26:26 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHT\Microsoft.SqlServer.Configuration.Dmf.Resources.dll^|^48832^|^2/21/2014 11:26:24 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHT\Microsoft.SqlServer.Configuration.InstallWizard.Resources.dll^|^966336^|^5/28/2016 3:39:06 AM^
^C:\Program Files\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\zh-CHT\Microsoft.SqlServer.Configuration.InstallWizardFramework.Resources.dll^|^22720^|^5/28/2016 3:39:06 AM^
